actor_segment_id;sigep_code;treasury_code;initials;label;description;mission;vision;id
f27ab995-b8f1-436b-80a1-e3465bb876ad;;;Secretaría Distrital de Cultura;Secretaría Distrital de Cultura;;;;df3c6d45-a610-452f-9f01-3efae7005f0f
fd4c9d0b-a750-4831-bbce-27c98c43ab17;;;Invest in Bogota;Corporación para el Desarrollo y la Productividad Bogotá Región (Invest in Bogota);Organización dedicada a fomentar el desarrollo productivo y la competitividad en la región.;Apoyar a inversionistas que están explorando oportunidades en Bogotá y Cundinamarca;Contribuir al desarrollo socioeconómico;cfb6616c-d584-48dc-83f9-cb9468c6838d
fd4c9d0b-a750-4831-bbce-27c98c43ab17;4642;221;IDT;Instituto Distrital de Turismo;Institución que promueve el turismo y la oferta turística de Bogotá.;El Instituto Distrital de Turismo promueve el desarrollo integral y fortalecimiento económico de Bogotá;;1b09ae65-d423-41ce-bb04-76539e953cd1
fd4c9d0b-a750-4831-bbce-27c98c43ab17;4797;200;IPES;Instituto para la Economía Social;Instituto que impulsa la economía social y el emprendimiento en la ciudad.;"El Instituto para la Economía Social tiene como propósito ofertar alternativas de generación de ingresos a la población de la economía informal que ejerce sus actividades en el espacio público; así como administrar y desarrollar acciones de fortalecimiento del Sistema Distrital de Plazas de Mercado";;e32446a6-18d0-481c-b2b4-3e32a9356113
fd4c9d0b-a750-4831-bbce-27c98c43ab17;6126;117;SDDE;Secretaría Distrital de Desarrollo Económico;Organismo responsable de la promoción del desarrollo económico y empresarial en Bogotá.;Somos la entidad Distrital que lidera la formulación;;6da76978-4091-4857-991a-24dbc6ac5894
7a47affd-5955-4ef4-baaa-3f50fb750c0b;;;Agencia Distrital para la Educación Superior;Agencia Distrital para la Educación Superior;;;;33af8b45-5729-4d4c-89da-46e4eccd9b42
7a47affd-5955-4ef4-baaa-3f50fb750c0b;4801;219;IDEP;Instituto para la Investigación Educativa y el Desarrollo Pedagógico;Instituto enfocado en la investigación y el desarrollo pedagógico en el sector educativo.;Fortalecer y gestionar la investigación y la innovación;;e6e31363-d0e1-4ece-bc04-b52a0896a5c3
7a47affd-5955-4ef4-baaa-3f50fb750c0b;6121;112;SED;Secretaría de Educación del Distrito;Secretaría responsable de la formulación y ejecución de políticas educativas en Bogotá.;Promover la oferta educativa en la ciudad para garantizar el acceso y la permanencia de los niños;;1da7de14-57d3-4f35-8b1e-f66c3d95aeeb
7a47affd-5955-4ef4-baaa-3f50fb750c0b;6243;230;UDFJC;Universidad Distrital Francisco José de Caldas;Universidad pública distrital que ofrece programas de educación superior en Bogotá.;La Universidad Distrital Francisco José de Caldas es un espacio social y una organización institucional;;d267f1c6-2620-4a80-815a-557a23492ba4
df651548-3cd9-450b-b85e-d7f8960b020d;8101;136;SJD;Secretaría Jurídica Distrital;Entidad que asesora y representa legalmente al distrito en asuntos jurídicos.;Liderar la gestión jurídica del Distrito Capital mediante la defensa efectiva e integra de sus intereses. Promover el uso eficiente y transparente de los recursos públicos;;b3a1580a-2f11-468c-9336-e1ce3cc1e57b
ae080b01-bd39-45e3-b01e-266b6d9d6de8;;;Agencia de Analítica de Datos;Agencia de Analítica de Datos;;;;0b4bb22e-1a88-4ce8-b69f-7ae4fba8a9d1
ae080b01-bd39-45e3-b01e-266b6d9d6de8;2737;125;DASCD;Departamento Administrativo del Servicio Civil Distrital;Institución encargada de la administración del servicio civil y la gestión del talento humano.;Entidad rectora y articuladora del servicio civil en Bogotá;;7e1205f0-4cd8-4e39-80fd-7651266ddc5f
ae080b01-bd39-45e3-b01e-266b6d9d6de8;6132;104;SGAMB;Secretaría General de la Alcaldía Mayor de Bogotá D.C.;Secretaría encargada de la gestión administrativa del despacho del alcalde mayor.;La Secretaría General de la Alcaldía Mayor de Bogotá;;55d0f698-9b69-4a7f-8a64-33a3e2236f56
4f3b76a2-ce2f-45e2-b454-dd3254fdf8e2;2732;127;DADEP;Departamento Administrativo de la Defensoría del Espacio Público;Entidad responsable de la gestión y defensa del espacio público en la ciudad.;Contribuir al mejoramiento de la calidad de vida en Bogotá;;ee7bd620-6ee5-4108-8fa5-fa43df59f142
4f3b76a2-ce2f-45e2-b454-dd3254fdf8e2;4639;220;IDPAC;Instituto Distrital de la Participación y Acción Comunal;Entidad encargada de fomentar la participación ciudadana y la acción comunal.;Somos una entidad pública;;8f2013cb-a19d-4b94-82e1-dde826049c56
4f3b76a2-ce2f-45e2-b454-dd3254fdf8e2;6127;110;SDG;Secretaría Distrital de Gobierno;Secretaría encargada de la administración política y la gobernabilidad en la ciudad.;La _Secretaría Distrital de Gobierno lidera la convivencia pacífica;;2a1228b4-8ee2-424d-ac64-2c28d249f7f7
40ec80df-f409-4400-ada2-2b327d7d9d2b;3864;264;AB;Aguas de Bogotá S.A.S. ESP;Empresa prestadora de servicios de aseo y gestión de residuos en la ciudad.;En Aguas de Bogotá S.A. E.S.P. prestamos servicios de gestión integral del agua;;81a5cc88-6183-427b-806c-1b2756fdd57d
40ec80df-f409-4400-ada2-2b327d7d9d2b;1397;208;CVP;Caja de Vivienda Popular;Organismo distrital que promueve el acceso a la vivienda y el desarrollo urbano.;La Caja de la Vivienda Popular tiene como misión transformar y mejorar la vivienda;;dae08630-74c8-44c3-906c-d4b7fdbd4bfa
40ec80df-f409-4400-ada2-2b327d7d9d2b;3943;265;EAAB;Empresa de Acueducto y Alcantarillado de Bogotá - ESP;Empresa encargada de la prestación del servicio de acueducto y alcantarillado en Bogotá.;Agua para la vida;;8e512352-7788-420d-9f94-e0ba1018820f
40ec80df-f409-4400-ada2-2b327d7d9d2b;;;GEB;Grupo Energía Bogotá S.A. E.S.P.;Compañía que lidera la generación;;;622af4a0-42c7-4311-90d4-9be74fd8f599
40ec80df-f409-4400-ada2-2b327d7d9d2b;4193;263;RenoBo;Empresa de Renovación y Desarrollo Urbano de Bogotá D.C.;Entidad responsable de la renovación y el desarrollo urbano en Bogotá.;Somos el operador de proyectos de revitalización urbana de Bogotá. Identificamos;;1d8d452b-c609-4ae7-9b8c-567a1f28032f
40ec80df-f409-4400-ada2-2b327d7d9d2b;;;ETB;Empresa de Telecomunicaciones de Bogotá S.A. E.S.P.;Empresa que gestiona la infraestructura de telecomunicaciones del distrito.;La misión de ETB es entregar soluciones integrales de tecnologías de información y comunicaciones que satisfacen a nuestros clientes y contribuyen al fortalecimiento de la sociedad de la información;;5ae28390-f8b2-43cd-a3ba-cf0c8303517f
40ec80df-f409-4400-ada2-2b327d7d9d2b;6131;118;SDHT;Secretaría Distrital del Hábitat;Entidad responsable de la planificación y ejecución de políticas de vivienda.;Somos la entidad cabeza del Sector Hábitat encargada de liderar la formulación e implementación de políticas de gestión del territorio urbano y rural;;6b9496af-f22b-4ffa-8fd0-3715b7a4c44f
40ec80df-f409-4400-ada2-2b327d7d9d2b;6218;228;UAESP;Unidad Administrativa Especial de Servicios Públicos;Entidad que administra los servicios públicos y la gestión de residuos sólidos.;Garantizar en el Distrito Capital la prestación;;f40536a4-9859-440c-8dbe-6de07ea0c57f
59ca38a3-9566-4954-ab39-8bde72ed7042;;;Fondo de Prestaciones Económicas;Fondo de Prestaciones Económicas;;;;965af449-187b-477e-b052-6c8466485c06
59ca38a3-9566-4954-ab39-8bde72ed7042;4848;240;Lotería de Bogotá;Lotería de Bogotá;Entidad encargada de la operación y administración de la lotería de Bogotá.;Somos diversión y cumplimos sueños;;de5e850e-a009-496c-b5cf-61ecefd9daf7
59ca38a3-9566-4954-ab39-8bde72ed7042;6123;111;SDH;Secretaría Distrital de Hacienda;Secretaría que gestiona los recursos financieros y el presupuesto distrital.;La Secretaría Distrital de Hacienda tiene la misión de contribuir al desarrollo sostenible de Bogotá y al mejoramiento de la calidad de vida de sus habitantes;;d8ee456f-f58d-423b-9407-1af8f7ee5faa
59ca38a3-9566-4954-ab39-8bde72ed7042;6216;226;UAECD;Unidad Administrativa Especial de Catastro Distrital;Entidad encargada de la gestión y actualización del catastro en Bogotá.;La Unidad Administrativa Especial de Catastro Distrital es la entidad encargada de recopilar;;5026a6c5-bc28-4abe-ba16-84848fd70f3f
2cd3a030-dc19-4170-809a-43e5951533d4;4803;214;IDIPRON;Instituto Distrital para la Protección de la Niñez y la Juventud;Entidad encargada de la protección y atención integral de la niñez y juventud.;Formar ciudadanos creativos e innovadores con oportunidades;;99890a0b-70de-4846-8562-08860ab50475
2cd3a030-dc19-4170-809a-43e5951533d4;6128;122;SDIS;Secretaría Distrital de Integración Social;Entidad encargada de la integración y protección social de poblaciones vulnerables.;La Secretaría Distrital de Integración Social;;deca3f0e-aeac-4446-8e7c-793ba8cb2bb2
365a0dd6-3749-42eb-adaf-8e3e723efc78;4212;262;TMSA;Empresa de Transporte del Tercer Milenio - TransMilenio S.A.;Entidad a cargo de la operación del sistema de transporte público masivo TransMilenio.;Somos los responsables de gestionar el Sistema Integrado de Transporte Público de Bogotá D.C.;;594b1c29-91da-407a-93e6-57c8ffa8e22a
365a0dd6-3749-42eb-adaf-8e3e723efc78;8243;266;EMB;Empresa Metro de Bogotá S.A.;Empresa encargada del desarrollo;;;a835f2e5-8516-4942-8526-44d7338480bc
365a0dd6-3749-42eb-adaf-8e3e723efc78;4554;204;IDU;Instituto de Desarrollo Urbano;Instituto encargado de la planificación y ejecución de proyectos de infraestructura vial.;Estructuramos y desarrollamos proyectos de infraestructura vial y movilidad multimodal;;93c5d9a1-9971-4450-ab5a-66a350eb158a
365a0dd6-3749-42eb-adaf-8e3e723efc78;13228;;ODT;Operadora Distrital de Transporte S.A.S. - La Rolita;Operadora responsable del sistema de transporte público en la ciudad.;Prestar un servicio de transporte multimodal de alta calidad;;05c61cf4-3560-4f3c-99db-9c3f9787a2f7
365a0dd6-3749-42eb-adaf-8e3e723efc78;6124;113;SDM;Secretaría Distrital de Movilidad;Entidad encargada de la planificación y regulación de la movilidad en Bogotá.;La Secretaría Distrital de Movilidad como líder del sector;;c4f36231-7247-483a-b21e-44e5d118db29
365a0dd6-3749-42eb-adaf-8e3e723efc78;6189;;Terminal de Transporte S.A.;Terminal de Transporte S.A.;Entidad responsable de la operación y administración de la terminal de transportes.;Promover;;c2100c35-c6cf-405e-9861-cf159c5697c5
365a0dd6-3749-42eb-adaf-8e3e723efc78;6217;227;UAERMV;Unidad Administrativa Especial de Rehabilitación y Mantenimiento Vial;Institución responsable del mantenimiento y rehabilitación de la infraestructura vial.;La misión de la Unidad Administrativa Especial de Rehabilitación y Mantenimiento Vial (UAERMV) de Bogotá es mejorar la movilidad y disminuir la accidentalidad en la ciudad: Conservar la malla vial local;;ce0f66f7-a7ad-4e4f-a631-f083237dcc0a
95a78ddd-992e-48c7-84ab-5624176d21de;8095;121;SDMujer;Secretaría Distrital de la Mujer;Secretaría que fomenta la equidad de género y los derechos de las mujeres.;Liderar;;7a5e1933-2716-444c-81f2-b9f0d9497cc6
09499aa5-1798-4a03-b31a-333840c90322;1479;100;Concejo de Bogotá D.C.;Concejo de Bogotá D.C.;Órgano de representación y deliberación que formula normas y políticas distritales.;El Concejo de Bogotá D.C. como Suprema Autoridad Política Administrativa del Distrito Capital;;eae49b79-55c4-4432-b57a-576b591ff09d
09499aa5-1798-4a03-b31a-333840c90322;2638;235;CB;Contraloría de Bogotá D.C.;Entidad encargada de la fiscalización y control del uso de los recursos públicos en Bogotá.;Vigilamos la gestión de los recursos del Distrito Capital con oportunidad y efectividad;;44d84dd4-805e-4a0a-955b-8587e5c661fc
09499aa5-1798-4a03-b31a-333840c90322;4891;102;PB;Personería de Bogotá D.C.;Organismo encargado de la vigilancia y control de la administración distrital.;Como órgano de control;;ccb07bc2-67b9-4c6b-9d1e-8d84493cde19
09499aa5-1798-4a03-b31a-333840c90322;6247;105;VD;Veeduría Distrital;Organismo encargado del control ciudadano y la vigilancia de la gestión pública.;Somos un organismo autónomo de control y vigilancia;;1b01632f-f169-46c5-be3a-d1c1eee6f58c
8ff8cee4-3a3f-4dcd-89ab-a063366cc323;6133;120;SDP;Secretaría Distrital de Planeación;Secretaría que dirige la planificación territorial y el desarrollo urbano de la ciudad.;En la SDP planeamos y orientamos la transformación - territorial;;4345be1e-ba97-44b0-8bcb-dc935f6b691f
b0990b59-6410-4f37-970a-3d3d3e650175;8275;267;CS EPS-S;Capital Salud EPS-S S.A.S.;Entidad de salud enfocada en la prestación de servicios médicos a los ciudadanos.;Somos la EPS que garantiza el aseguramiento;;47a52a9a-d3fa-4c48-b3fe-5d6916c283e4
b0990b59-6410-4f37-970a-3d3d3e650175;;;BogotáBio;Centro de Desarrollo Tecnológico de Producción de Vacunas - BogotáBio S.A.S.;Centro especializado en el desarrollo y producción de vacunas en el distrito.;Celebrar y ejecutar contratos para la investigación y desarrollo de biológicos. Construir;;b1b5b22b-fd6e-4bfe-8c94-aee4718f7749
b0990b59-6410-4f37-970a-3d3d3e650175;8273;;EGAT;Entidad de Gestión Administrativa y Técnica;Institución que apoya la gestión administrativa y técnica del distrito.;Somos una entidad que gestiona procesos de contratación de bienes y servicios para entidades públicas y privadas del sector salud de orden Distrital y Nacional;;a735fee7-3139-4cbf-9eb4-88a51e2d69f9
b0990b59-6410-4f37-970a-3d3d3e650175;4339;201;FFDS;Fondo Financiero Distrital de Salud;Entidad que administra los recursos financieros del sector salud en Bogotá.;Recaudar y administrar los recursos que son captados por Bogotá y que provienen de diferentes fuentes públicas y privadas;;79b706db-7008-402f-a268-2e796aee894c
b0990b59-6410-4f37-970a-3d3d3e650175;;;Instituto Distrital de Ciencia;Instituto Distrital de Ciencia;;;;b9aed058-7ae7-47b1-aa6d-57382a7df8af
b0990b59-6410-4f37-970a-3d3d3e650175;6130;114;SDS;Secretaría Distrital de Salud;Organismo responsable de la formulación y ejecución de políticas de salud pública.;Somos la entidad rectora de salud en Bogotá;;289452a5-d96a-41a2-89f0-a16058a70511
b0990b59-6410-4f37-970a-3d3d3e650175;8183;423;Subred Integrada de Servicios de Salud Centro Oriente E.S.E.;Subred Integrada de Servicios de Salud Centro Oriente E.S.E.;Red hospitalaria que presta servicios de salud en la zona centro-oriente de Bogotá.;Somos la Subred Integrada de Servicios de Salud Centro Oriente del Distrito Capital;;924f505e-b985-4139-a03f-2075e23075d0
b0990b59-6410-4f37-970a-3d3d3e650175;8182;426;Subred Integrada de Servicios de Salud Norte E.S.E.;Subred Integrada de Servicios de Salud Norte E.S.E.;Red de hospitales que ofrece atención médica en la zona norte de la ciudad.;Somos una Empresa Social del Estado innovadora y socialmente responsable;;da3ccecf-b7ad-46f2-a759-edd4533cd47c
b0990b59-6410-4f37-970a-3d3d3e650175;8180;425;Subred Integrada de Servicios de Salud Sur E.S.E.;Subred Integrada de Servicios de Salud Sur E.S.E.;Red hospitalaria enfocada en la prestación de servicios de salud en la zona sur.;La Subred Integrada de Servicios de Salud Sur E.S.E.;;69a66e34-418d-4f80-85cd-f9510d2d524e
b0990b59-6410-4f37-970a-3d3d3e650175;8181;424;Subred Integrada de Servicios de Salud Sur Occidente E.S.E.;Subred Integrada de Servicios de Salud Sur Occidente E.S.E.;Red integrada de salud que atiende a la población en el suroccidente de Bogotá.;Brindar servicios de salud con altos estándares de calidad;;a6fa44d1-a682-4599-8e12-a0f1a12b6b69
4599728e-f9d1-4091-b3f7-8b915f2772b6;8343;15;Alcaldía Local de Antonio Nariño;Alcaldía Local de Antonio Nariño;Administración local encargada de la gestión y desarrollo del territorio de Antonio Nariño.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;1392a4b4-32de-4eac-9433-9c120e273b37
4599728e-f9d1-4091-b3f7-8b915f2772b6;8340;12;Alcaldía Local de Barrios Unidos;Alcaldía Local de Barrios Unidos;Entidad gubernamental responsable de la administración de la localidad de Barrios Unidos.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;6e2f4e1e-b26e-497d-b6f0-bf30f162c1dc
4599728e-f9d1-4091-b3f7-8b915f2772b6;8335;7;Alcaldía Local de Bosa;Alcaldía Local de Bosa;Alcaldía local encargada de la planificación y gestión de la localidad de Bosa.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;b00a799a-4c7e-449c-9eb8-8f3d4123e788
4599728e-f9d1-4091-b3f7-8b915f2772b6;8330;2;Alcaldía Local de Chapinero;Alcaldía Local de Chapinero;Administración local que gestiona el desarrollo urbano y social de Chapinero.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;637445a7-7ee6-44a7-b053-a613f873248f
4599728e-f9d1-4091-b3f7-8b915f2772b6;8347;19;Alcaldía Local de Ciudad Bolívar;Alcaldía Local de Ciudad Bolívar;Entidad que dirige y administra los servicios y proyectos en Ciudad Bolívar.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;82e05c17-326b-46a1-a875-62fb9db97e0b
4599728e-f9d1-4091-b3f7-8b915f2772b6;8338;10;Alcaldía Local de Engativá;Alcaldía Local de Engativá;Alcaldía que supervisa y gestiona el desarrollo de la localidad de Engativá.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;f4f22688-fb8a-40ba-b58b-13d334dbf897
4599728e-f9d1-4091-b3f7-8b915f2772b6;8337;9;Alcaldía Local de Fontibón;Alcaldía Local de Fontibón;Entidad responsable de la planificación y administración de la localidad de Fontibón.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;1b8fefa0-afe4-4c6e-9a13-e15c39b76a4e
4599728e-f9d1-4091-b3f7-8b915f2772b6;8336;8;Alcaldía Local de Kennedy;Alcaldía Local de Kennedy;Alcaldía encargada de la gestión territorial y el desarrollo comunitario en Kennedy.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;d65b7bcc-d53a-4543-a294-6f52e146281d
4599728e-f9d1-4091-b3f7-8b915f2772b6;8345;17;Alcaldía Local de La Candelaria;Alcaldía Local de La Candelaria;Entidad que vela por el desarrollo urbano y social de La Candelaria.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;3563fdd5-9aeb-4b80-804f-ab21beaf454f
4599728e-f9d1-4091-b3f7-8b915f2772b6;8342;14;Alcaldía Local de Los Mártires;Alcaldía Local de Los Mártires;Administración local responsable de la planificación y ejecución de proyectos en Los Mártires.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;35492fe1-7cc7-4e86-a18c-aa42d2e6469c
4599728e-f9d1-4091-b3f7-8b915f2772b6;8344;16;Alcaldía Local de Puente Aranda;Alcaldía Local de Puente Aranda;Alcaldía local que gestiona el desarrollo de Puente Aranda y sus comunidades.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;0ac22659-e454-444e-9333-9e0b6b1731c6
4599728e-f9d1-4091-b3f7-8b915f2772b6;8346;18;Alcaldía Local de Rafael Uribe Uribe;Alcaldía Local de Rafael Uribe Uribe;Entidad encargada del bienestar y la infraestructura de Rafael Uribe Uribe.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;16790b2a-7734-4ee5-8914-a100e6c136cb
4599728e-f9d1-4091-b3f7-8b915f2772b6;8332;4;Alcaldía Local de San Cristóbal;Alcaldía Local de San Cristóbal;Administración que supervisa el desarrollo de la localidad de San Cristóbal.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;0567f60c-47f5-43ce-a028-b80eaf88d37a
4599728e-f9d1-4091-b3f7-8b915f2772b6;8331;3;Alcaldía Local de Santa Fe;Alcaldía Local de Santa Fe;Alcaldía responsable de la gestión territorial y social en Santa Fe.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;6d0b0be5-3af2-488e-9584-bdd829b27c40
4599728e-f9d1-4091-b3f7-8b915f2772b6;8339;11;Alcaldía Local de Suba;Alcaldía Local de Suba;Entidad encargada de la administración y desarrollo de la localidad de Suba.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;d4736ade-3144-4127-bd1f-a428c77e125e
4599728e-f9d1-4091-b3f7-8b915f2772b6;8348;20;Alcaldía Local de Sumapaz;Alcaldía Local de Sumapaz;Alcaldía que gestiona el desarrollo territorial y comunitario en Sumapaz.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;f1e3fb07-af80-40e9-b3ba-951392680ceb
4599728e-f9d1-4091-b3f7-8b915f2772b6;8341;13;Alcaldía Local de Teusaquillo;Alcaldía Local de Teusaquillo;Administración local encargada de la planificación y ejecución de proyectos en Teusaquillo.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;29b462d1-a002-4c07-a854-1c82fc10829f
4599728e-f9d1-4091-b3f7-8b915f2772b6;8334;6;Alcaldía Local de Tunjuelito;Alcaldía Local de Tunjuelito;Entidad responsable del desarrollo urbano y social en Tunjuelito.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;1dcd0622-9833-4ca8-8b09-ea7617ead3c3
4599728e-f9d1-4091-b3f7-8b915f2772b6;8329;1;Alcaldía Local de Usaquén;Alcaldía Local de Usaquén;Alcaldía local encargada del desarrollo de la comunidad en Usaquén.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;31b7d251-5580-45d3-9e5b-e76853b78302
4599728e-f9d1-4091-b3f7-8b915f2772b6;8333;5;Alcaldía Local de Usme;Alcaldía Local de Usme;Entidad encargada de la gestión y planificación de la localidad de Usme.;La Secretaría Distrital de Gobierno lidera la convivencia pacífica;;aee6112d-44a4-4cca-876c-fcde6582e9f2
561e4019-eeb6-4c9b-abc4-5664262110d6;;;Secretaría Distrital de Seguridad;Secretaría Distrital de Seguridad;;;;853d09e9-df1f-4a9b-a21c-5d2499e3ffa4
561e4019-eeb6-4c9b-abc4-5664262110d6;2730;131;UAECOB;Unidad Administrativa Especial Cuerpo Oficial de Bomberos de Bogotá D.C.;Cuerpo oficial encargado de la prevención y atención de emergencias de bomberos.;Proteger la vida;;e4cd18f0-b93e-43e3-9e70-b67b5b86101d
